Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,0.0
Baja California,5.0,Nayarit,0.0
,,Nuevo León,1.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,5.0
Chiapas,3.0,,
,,Querétaro,1.0
Chihuahua,10.0,,
,,Quintana Roo,2.0
Ciudad de México,4.0,,
,,San Luis Potosí,0.0
Coahuila,2.0,,
,,Sinaloa,0.0
Colima,1.0,,
,,Sonora,2.0
Durango,0.0,,
,,Tabasco,2.0
Estado de México,13.0,,
,,Tamaulipas,1.0
Guanajuato,6.0,,
,,Tlaxcala,1.0
Guerrero,6.0,,
,,Veracruz,4.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,3.0,,
,,Zacatecas,3.0
Michoacán,0.0,,
,,Total,76.0
