Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,0.0
Baja California,7.0,Nayarit,2.0
,,Nuevo León,1.0
Baja California Sur,0.0,,
,,Oaxaca,0.0
Campeche,0.0,,
,,Puebla,3.0
Chiapas,0.0,,
,,Querétaro,0.0
Chihuahua,4.0,,
,,Quintana Roo,0.0
Ciudad de México,3.0,,
,,San Luis Potosí,1.0
Coahuila,1.0,,
,,Sinaloa,3.0
Colima,0.0,,
,,Sonora,4.0
Durango,0.0,,
,,Tabasco,2.0
Estado de México,3.0,,
,,Tamaulipas,2.0
Guanajuato,15.0,,
,,Tlaxcala,0.0
Guerrero,4.0,,
,,Veracruz,2.0
Hidalgo,0.0,,
,,Yucatán,1.0
Jalisco,4.0,,
,,Zacatecas,0.0
Michoacán,6.0,,
,,Total,68.0
