Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,0.0
Baja California,8.0,Nayarit,0.0
Baja California Sur,0.0,Nuevo León,3.0
Campeche,0.0,Oaxaca,2.0
Chiapas,0.0,Puebla,4.0
Chihuahua,3.0,Querétaro,1.0
Ciudad de México,2.0,Quintana Roo,2.0
Coahuila,0.0,San Luis Potosí,4.0
Colima,0.0,Sinaloa,2.0
Durango,1.0,Sonora,5.0
Estado de México,5.0,Tabasco,1.0
,,,
Guanajuato,13.0,Tamaulipas,0.0
,,,
,8.0,Tlaxcala,0.0
Guerrero,,,
,3.0,Veracruz,5.0
Hidalgo,,,
,4.0,Yucatán,0.0
Jalisco,3.0,,
Michoacán,,Zacatecas,1.0
