Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,3.0
Baja California,7.0,Nayarit,0.0
,,Nuevo León,2.0
Baja California Sur,0.0,,
,,Oaxaca,6.0
Campeche,0.0,,
,,Puebla,7.0
Chiapas,2.0,,
,,Querétaro,0.0
Chihuahua,2.0,,
,,Quintana Roo,0.0
Ciudad de México,4.0,,
,,San Luis Potosí,1.0
Coahuila,1.0,,
,,Sinaloa,7.0
Colima,1.0,,
,,Sonora,0.0
Durango,1.0,,
,,Tabasco,1.0
Estado de México,9.0,,
,,Tamaulipas,2.0
Guanajuato,10.0,,
,,Tlaxcala,0.0
Guerrero,6.0,,
,,Veracruz,2.0
Hidalgo,3.0,,
,,Yucatán,0.0
Jalisco,4.0,,
,,Zacatecas,1.0
Michoacán,2.0,,
,,Total,84.0
