Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,0.0
Baja California,5.0,Nayarit,0.0
,,Nuevo León,3.0
Baja California Sur,0.0,,
,,Oaxaca,0.0
Campeche,0.0,,
,,Puebla,1.0
Chiapas,0.0,,
,,Querétaro,0.0
Chihuahua,12.0,,
,,Quintana Roo,1.0
Ciudad de México,2.0,,
,,San Luis Potosí,1.0
Coahuila,2.0,,
,,Sinaloa,5.0
Colima,1.0,,
,,Sonora,2.0
Durango,1.0,,
,,Tabasco,1.0
Estado de México,2.0,,
,,Tamaulipas,2.0
Guanajuato,6.0,,
,,Tlaxcala,0.0
Guerrero,4.0,,
,,Veracruz,5.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,4.0,,
,,Zacatecas,6.0
Michoacán,3.0,,
,,Total,69.0
