Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,1.0,Morelos,1.0
,,Nayarit,1.0
Baja California,10.0,,
,,Nuevo León,1.0
Baja California Sur,0.0,,
,,Oaxaca,4.0
Campeche,0.0,,
,,Puebla,3.0
Chiapas,1.0,,
,,Querétaro,0.0
Chihuahua,5.0,,
,,Quintana Roo,3.0
Ciudad de México,2.0,,
,,San Luis Potosí,2.0
Coahuila,0.0,,
,,Sinaloa,3.0
Colima,1.0,,
,,Sonora,1.0
Durango,1.0,,
,,Tabasco,1.0
Estado de México,10.0,,
,,Tamaulipas,1.0
Guanajuato,17.0,,
,,Tlaxcala,0.0
Guerrero,0.0,,
,,Veracruz,3.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,10.0,,
,,Zacatecas,2.0
Michoacán,7.0,,
,,Total,91.0
