Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,2.0
Baja California,4.0,Nayarit,0.0
,,Nuevo León,2.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,3.0
Chiapas,1.0,,
,,Querétaro,1.0
Chihuahua,7.0,,
,,Quintana Roo,2.0
Ciudad de México,7.0,,
,,San Luis Potosí,0.0
Coahuila,2.0,,
,,Sinaloa,1.0
Colima,4.0,,
,,Sonora,2.0
Durango,5.0,,
,,Tabasco,2.0
Estado de México,12.0,,
,,Tamaulipas,2.0
Guanajuato,10.0,,
,,Tlaxcala,0.0
Guerrero,3.0,,
,,Veracruz,2.0
Hidalgo,2.0,,
,,Yucatán,0.0
Jalisco,5.0,,
,,Zacatecas,1.0
Michoacán,6.0,,
,,Total,89.0
