Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,4.0,Nayarit,0.0
,,Nuevo León,0.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,4.0
Chiapas,1.0,,
,,Querétaro,0.0
Chihuahua,4.0,,
,,Quintana Roo,0.0
Ciudad de México,4.0,,
,,San Luis Potosí,0.0
Coahuila,3.0,,
,,Sinaloa,4.0
Colima,2.0,,
,,Sonora,3.0
Durango,2.0,,
,,Tabasco,1.0
Estado de México,1.0,,
,,Tamaulipas,2.0
Guanajuato,4.0,,
,,Tlaxcala,0.0
Guerrero,6.0,,
,,Veracruz,0.0
Hidalgo,1.0,,
,,Yucatán,0.0
Jalisco,4.0,,
,,Zacatecas,3.0
Michoacán,4.0,,
,,Total,59.0
