Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,2.0
Baja California,3.0,Nayarit,1.0
,,Nuevo León,4.0
Baja California Sur,0.0,,
,,Oaxaca,6.0
Campeche,0.0,,
,,Puebla,4.0
Chiapas,2.0,,
,,Querétaro,0.0
Chihuahua,8.0,,
,,Quintana Roo,1.0
Ciudad de México,2.0,,
,,San Luis Potosí,4.0
Coahuila,1.0,,
,,Sinaloa,3.0
Colima,2.0,,
,,Sonora,4.0
Durango,2.0,,
,,Tabasco,3.0
Estado de México,9.0,,
,,Tamaulipas,10.0
Guanajuato,10.0,,
,,Tlaxcala,1.0
Guerrero,5.0,,
,,Veracruz,1.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,12.0,,
,,Zacatecas,0.0
Michoacán,2.0,,
,,Total,102.0
