Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,2.0
,,Nayarit,0.0
Baja California,7.0,,
,,Nuevo León,4.0
Baja California Sur,0.0,,
,,Oaxaca,0.0
Campeche,0.0,,
,,Puebla,4.0
Chiapas,2.0,,
,,Querétaro,0.0
Chihuahua,4.0,,
,,Quintana Roo,2.0
Ciudad de México,1.0,,
,,San Luis Potosí,1.0
Coahuila,1.0,,
,,Sinaloa,2.0
Colima,0.0,,
,,Sonora,9.0
Durango,0.0,,
,,Tabasco,1.0
Estado de México,8.0,,
,,Tamaulipas,3.0
Guanajuato,6.0,,
,,Tlaxcala,3.0
Guerrero,1.0,,
,,Veracruz,7.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,3.0,,
,,Zacatecas,9.0
Michoacán,12.0,,
,,Total,92.0
