Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,5.0,Nayarit,0.0
,,Nuevo León,6.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,2.0
Chiapas,1.0,,
,,Querétaro,0.0
Chihuahua,6.0,,
,,Quintana Roo,1.0
Ciudad de México,2.0,,
,,San Luis Potosí,2.0
Coahuila,1.0,,
,,Sinaloa,0.0
Colima,0.0,,
,,Sonora,2.0
Durango,0.0,,
,,Tabasco,4.0
Estado de México,7.0,,
,,Tamaulipas,1.0
Guanajuato,12.0,,
,,Tlaxcala,0.0
Guerrero,1.0,,
,,Veracruz,6.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,5.0,,
,,Zacatecas,1.0
Michoacán,8.0,,
,,Total,75.0
