Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,2.0
Baja California,5.0,Nayarit,0.0
,,Nuevo León,2.0
Baja California Sur,1.0,,
,,Oaxaca,6.0
Campeche,0.0,,
,,Puebla,1.0
Chiapas,0.0,,
,,Querétaro,0.0
Chihuahua,2.0,,
,,Quintana Roo,1.0
Ciudad de México,5.0,,
,,San Luis Potosí,0.0
Coahuila,1.0,,
,,Sinaloa,2.0
Colima,3.0,,
,,Sonora,4.0
Durango,0.0,,
,,Tabasco,2.0
Estado de México,3.0,,
,,Tamaulipas,0.0
Guanajuato,11.0,,
,,Tlaxcala,1.0
Guerrero,3.0,,
,,Veracruz,3.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,2.0,,
,,Zacatecas,17.0
Michoacán,6.0,,
,,Total,83.0
