Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,4.0
Baja California,2.0,Nayarit,1.0
,,Nuevo León,2.0
Baja California Sur,0.0,,
,,Oaxaca,4.0
Campeche,0.0,,
,,Puebla,3.0
Chiapas,0.0,,
,,Querétaro,0.0
Chihuahua,4.0,,
,,Quintana Roo,3.0
Ciudad de México,6.0,,
,,San Luis Potosí,2.0
Coahuila,0.0,,
,,Sinaloa,3.0
Colima,1.0,,
,,Sonora,2.0
Durango,1.0,,
,,Tabasco,0.0
Estado de México,7.0,,
,,Tamaulipas,2.0
Guanajuato,13.0,,
,,Tlaxcala,1.0
Guerrero,2.0,,
,,Veracruz,2.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,10.0,,
,,Zacatecas,2.0
Michoacán,1.0,,
,,Total,78.0
