Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,2.0
Baja California,8.0,Nayarit,0.0
,,Nuevo León,2.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,1.0
Chiapas,0.0,,
,,Querétaro,0.0
Chihuahua,5.0,,
,,Quintana Roo,1.0
Ciudad de México,4.0,,
,,San Luis Potosí,0.0
Coahuila,1.0,,
,,Sinaloa,1.0
Colima,0.0,,
,,Sonora,2.0
Durango,0.0,,
,,Tabasco,2.0
Estado de México,13.0,,
,,Tamaulipas,3.0
Guanajuato,12.0,,
,,Tlaxcala,0.0
Guerrero,2.0,,
,,Veracruz,3.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,7.0,,
,,Zacatecas,1.0
Michoacán,3.0,,
,,Total,74.0
