Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,10.0,Nayarit,0.0
,,Nuevo León,0.0
Baja California Sur,0.0,,
,,Oaxaca,2.0
Campeche,1.0,,
,,Puebla,2.0
Chiapas,4.0,,
,,Querétaro,0.0
Chihuahua,3.0,,
,,Quintana Roo,1.0
Ciudad de México,3.0,,
,,San Luis Potosí,1.0
Coahuila,0.0,,
,,Sinaloa,2.0
Colima,2.0,,
,,Sonora,2.0
Durango,1.0,,
,,Tabasco,0.0
Estado de México,3.0,,
,,Tamaulipas,3.0
Guanajuato,13.0,,
,,Tlaxcala,2.0
Guerrero,1.0,,
,,Veracruz,7.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,6.0,,
,,Zacatecas,0.0
Michoacán,6.0,,
,,Total,76.0
