Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,1.0,Morelos,2.0
,,Nayarit,0.0
Baja California,12.0,,
,,Nuevo León,4.0
Baja California Sur,0.0,,
,,Oaxaca,2.0
Campeche,1.0,,
,,Puebla,2.0
Chiapas,1.0,,
,,Querétaro,2.0
Chihuahua,4.0,,
,,Quintana Roo,1.0
Ciudad de México,5.0,,
,,San Luis Potosí,0.0
Coahuila,0.0,,
,,Sinaloa,2.0
Colima,2.0,,
,,Sonora,1.0
Durango,1.0,,
,,Tabasco,5.0
Estado de México,5.0,,
,,Tamaulipas,0.0
Guanajuato,7.0,Tlaxcala,0.0
Guerrero,3.0,Veracruz,4.0
,,Yucatán,0.0
Hidalgo,0.0,,
Jalisco,6.0,Zacatecas,0.0
Michoacán,4.0,Total,77.0
