Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,6.0,Nayarit,0.0
,,Nuevo León,0.0
Baja California Sur,3.0,,
,,Oaxaca,1.0
Campeche,2.0,,
,,Puebla,4.0
Chiapas,0.0,,
,,Querétaro,0.0
Chihuahua,2.0,,
,,Quintana Roo,1.0
Ciudad de México,2.0,,
,,San Luis Potosí,2.0
Coahuila,0.0,,
,,Sinaloa,3.0
Colima,0.0,,
,,Sonora,0.0
Durango,0.0,,
,,Tabasco,1.0
Estado de México,12.0,,
,,Tamaulipas,0.0
Guanajuato,10.0,,
,,Tlaxcala,1.0
Guerrero,3.0,,
,,Veracruz,3.0
Hidalgo,1.0,,
,,Yucatán,0.0
Jalisco,9.0,,
,,Zacatecas,3.0
Michoacán,1.0,,
,,Total,71.0
