Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,6.0,Nayarit,0.0
,,Nuevo León,3.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,1.0,,
,,Puebla,6.0
Chiapas,1.0,,
,,Querétaro,0.0
Chihuahua,9.0,,
,,Quintana Roo,0.0
Ciudad de México,4.0,,
,,San Luis Potosí,4.0
Coahuila,1.0,,
,,Sinaloa,0.0
Colima,1.0,,
,,Sonora,5.0
Durango,0.0,,
,,Tabasco,0.0
Estado de México,5.0,,
,,Tamaulipas,1.0
Guanajuato,8.0,,
,,Tlaxcala,0.0
Guerrero,7.0,,
,,Veracruz,3.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,3.0,,
,,Zacatecas,1.0
Michoacán,1.0,,
,,Total,72.0
