Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,2.0
Baja California,3.0,Nayarit,0.0
,,Nuevo León,0.0
Baja California Sur,0.0,,
,,Oaxaca,7.0
Campeche,0.0,,
,,Puebla,7.0
Chiapas,1.0,,
,,Querétaro,0.0
Chihuahua,4.0,,
,,Quintana Roo,3.0
Ciudad de México,2.0,,
,,San Luis Potosí,0.0
Coahuila,1.0,,
,,Sinaloa,2.0
Colima,1.0,,
,,Sonora,3.0
Durango,1.0,,
,,Tabasco,1.0
Estado de México,7.0,,
,,Tamaulipas,1.0
Guanajuato,10.0,,
,,Tlaxcala,0.0
Guerrero,5.0,,
,,Veracruz,1.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,5.0,,
,,Zacatecas,4.0
Michoacán,4.0,,
,,Total,75.0
