Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,1.0,Morelos,0.0
Baja California,3.0,Nayarit,1.0
,,Nuevo León,5.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,3.0
Chiapas,2.0,,
,,Querétaro,0.0
Chihuahua,4.0,,
,,Quintana Roo,4.0
Ciudad de México,3.0,,
,,San Luis Potosí,3.0
Coahuila,0.0,,
,,Sinaloa,3.0
Colima,4.0,,
,,Sonora,2.0
Durango,0.0,,
,,Tabasco,1.0
Estado de México,5.0,,
,,Tamaulipas,0.0
Guanajuato,10.0,,
,,Tlaxcala,0.0
Guerrero,3.0,,
,,Veracruz,5.0
Hidalgo,4.0,,
,,Yucatán,0.0
Jalisco,8.0,,
,,Zacatecas,2.0
Michoacán,6.0,,
,,Total,83.0
