Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,1.0,Morelos,7.0
Baja California,6.0,Nayarit,0.0
,,Nuevo León,1.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,1.0
Chiapas,1.0,,
,,Querétaro,0.0
Chihuahua,6.0,,
,,Quintana Roo,0.0
Ciudad de México,2.0,,
,,San Luis Potosí,1.0
Coahuila,1.0,,
,,Sinaloa,0.0
Colima,3.0,,
,,Sonora,0.0
Durango,0.0,,
,,Tabasco,0.0
Estado de México,6.0,,
,,Tamaulipas,0.0
Guanajuato,10.0,,
,,Tlaxcala,0.0
Guerrero,6.0,,
,,Veracruz,3.0
Hidalgo,1.0,,
,,Yucatán,0.0
Jalisco,7.0,,
,,Zacatecas,1.0
Michoacán,3.0,,
,,Total,68.0
