Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,13.0,Nayarit,0.0
Baja California Sur,0.0,Nuevo León,6.0
Campeche,1.0,Oaxaca,0.0
Chiapas,2.0,Puebla,2.0
,,Querétaro,2.0
Chihuahua,8.0,,
,,Quintana Roo,0.0
Ciudad de México,4.0,,
,,San Luis Potosí,2.0
Coahuila,0.0,,
,,Sinaloa,2.0
Colima,0.0,,
,,Sonora,1.0
Durango,0.0,,
,,Tabasco,0.0
Estado de México,8.0,,
,,Tamaulipas,4.0
Guanajuato,12.0,,
,,Tlaxcala,1.0
Guerrero,4.0,,
,,Veracruz,6.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,5.0,,
,,Zacatecas,2.0
Michoacán,5.0,,
,,Total,91.0
