Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,1.0,Morelos,4.0
Baja California,4.0,Nayarit,0.0
,,Nuevo León,3.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,3.0
Chiapas,3.0,,
,,Querétaro,0.0
Chihuahua,3.0,,
,,Quintana Roo,4.0
Ciudad de México,2.0,,
,,San Luis Potosí,0.0
Coahuila,0.0,,
,,Sinaloa,1.0
Colima,0.0,,
,,Sonora,0.0
Durango,0.0,,
,,Tabasco,0.0
Estado de México,5.0,,
,,Tamaulipas,0.0
Guanajuato,14.0,,
,,Tlaxcala,0.0
Guerrero,3.0,,
,,Veracruz,2.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,4.0,,
,,Zacatecas,4.0
Michoacán,6.0,,
,,Total,67.0
