Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,2.0
Baja California,4.0,Nayarit,0.0
,,Nuevo León,4.0
Baja California Sur,0.0,,
,,Oaxaca,0.0
Campeche,0.0,,
,,Puebla,5.0
Chiapas,1.0,,
,,Querétaro,0.0
Chihuahua,1.0,,
,,Quintana Roo,0.0
Ciudad de México,1.0,,
,,San Luis Potosí,0.0
Coahuila,1.0,,
,,Sinaloa,1.0
Colima,0.0,,
,,Sonora,3.0
Durango,2.0,,
,,Tabasco,4.0
Estado de México,15.0,,
,,Tamaulipas,3.0
Guanajuato,8.0,,
,,Tlaxcala,0.0
Guerrero,3.0,,
,,Veracruz,3.0
Hidalgo,0.0,,
,,Yucatán,0.0
Jalisco,9.0,,
,,Zacatecas,7.0
Michoacán,4.0,,
,,Total,81.0
