Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,2.0,Nayarit,0.0
Baja California Sur,0.0,Nuevo León,0.0
Campeche,0.0,Oaxaca,2.0
Chiapas,1.0,Puebla,5.0
Chihuahua,4.0,Querétaro,0.0
Ciudad de México,1.0,Quintana Roo,2.0
Coahuila,5.0,San Luis Potosí,3.0
Colima,0.0,Sinaloa,2.0
Durango,0.0,Sonora,4.0
Estado de México,,Tabasco,2.0
,3.0,,
Guanajuato,,Tamaulipas,1.0
,13.0,,
,,Tlaxcala,0.0
Guerrero,2.0,,
,,Veracruz,1.0
Hidalgo,2.0,,
,,Yucatán,0.0
Jalisco,3.0,,
Michoacán,6.0,Zacatecas,1.0
