Entidad,Homicidios,Fecha
Querétaro,0,2021-02-06
Quintana Roo,7,2021-02-06
San Luis Potosí,3,2021-02-06
Sinaloa,1,2021-02-06
Sonora,1,2021-02-06
Tabasco,1,2021-02-06
Tamaulipas,2,2021-02-06
Tlaxcala,0,2021-02-06
Veracruz,1,2021-02-06
Yucatán,0,2021-02-06
Zacatecas,1,2021-02-06
Aguascalientes,0,2021-02-07
Baja California,4,2021-02-07
Baja California Sur,0,2021-02-07
Campeche,0,2021-02-07
Chiapas,0,2021-02-07
Chihuahua,3,2021-02-07
Ciudad de México,5,2021-02-07
Coahuila,2,2021-02-07
Colima,3,2021-02-07
Durango,0,2021-02-07
Estado de México,8,2021-02-07
Guanajuato,13,2021-02-07
Guerrero,0,2021-02-07
Hidalgo,0,2021-02-07
Jalisco,7,2021-02-07
Michoacán,7,2021-02-07
Morelos,1,2021-02-07
Nayarit,0,2021-02-07
Nuevo León,6,2021-02-07
Oaxaca,3,2021-02-07
Puebla,3,2021-02-07
Querétaro,3,2021-02-07
Quintana Roo,2,2021-02-07
San Luis Potosí,1,2021-02-07
Sinaloa,2,2021-02-07
Sonora,0,2021-02-07
Tabasco,1,2021-02-07
Tamaulipas,0,2021-02-07
Tlaxcala,0,2021-02-07
Veracruz,3,2021-02-07
Yucatán,0,2021-02-07
Zacatecas,2,2021-02-07
Aguascalientes,0,2021-02-08
Baja California,5,2021-02-08
Baja California Sur,0,2021-02-08
Campeche,0,2021-02-08
Chiapas,2,2021-02-08
Chihuahua,3,2021-02-08
Ciudad de México,2,2021-02-08
Coahuila,1,2021-02-08
Colima,0,2021-02-08
Durango,0,2021-02-08
Estado de México,7,2021-02-08
Guanajuato,10,2021-02-08
Guerrero,2,2021-02-08
Hidalgo,2,2021-02-08
Jalisco,14,2021-02-08
Michoacán,10,2021-02-08
Morelos,5,2021-02-08
Nayarit,1,2021-02-08
Nuevo León,3,2021-02-08
Oaxaca,2,2021-02-08
Puebla,3,2021-02-08
Querétaro,0,2021-02-08
Quintana Roo,0,2021-02-08
San Luis Potosí,1,2021-02-08
Sinaloa,0,2021-02-08
Sonora,5,2021-02-08
Tabasco,3,2021-02-08
Tamaulipas,2,2021-02-08
Tlaxcala,0,2021-02-08
Veracruz,2,2021-02-08
Yucatán,0,2021-02-08
Zacatecas,4,2021-02-08
Aguascalientes,0,2021-02-09
Baja California,4,2021-02-09
Baja California Sur,0,2021-02-09
Campeche,0,2021-02-09
Chiapas,1,2021-02-09
Chihuahua,8,2021-02-09
Ciudad de México,1,2021-02-09
Coahuila,0,2021-02-09
Colima,2,2021-02-09
Durango,0,2021-02-09
Estado de México,9,2021-02-09
Guanajuato,6,2021-02-09
Guerrero,3,2021-02-09
Hidalgo,0,2021-02-09
Jalisco,6,2021-02-09
Michoacán,6,2021-02-09
Morelos,5,2021-02-09
Nayarit,3,2021-02-09
Nuevo León,1,2021-02-09
Oaxaca,3,2021-02-09
Puebla,2,2021-02-09
Querétaro,0,2021-02-09
Quintana Roo,0,2021-02-09
San Luis Potosí,0,2021-02-09
Sinaloa,4,2021-02-09
Sonora,1,2021-02-09
Tabasco,1,2021-02-09
Tamaulipas,2,2021-02-09
Tlaxcala,0,2021-02-09
Veracruz,3,2021-02-09
Yucatán,0,2021-02-09
Zacatecas,5,2021-02-09
Aguascalientes,0,2021-02-10
Baja California,0,2021-02-10
Baja California Sur,0,2021-02-10
Campeche,0,2021-02-10
Chiapas,0,2021-02-10
Chihuahua,3,2021-02-10
Ciudad de México,1,2021-02-10
Coahuila,0,2021-02-10
Colima,1,2021-02-10
Durango,0,2021-02-10
Estado de México,6,2021-02-10
Guanajuato,4,2021-02-10
Guerrero,3,2021-02-10
Hidalgo,0,2021-02-10
Jalisco,14,2021-02-10
Michoacán,6,2021-02-10
Morelos,1,2021-02-10
Nayarit,0,2021-02-10
Nuevo León,4,2021-02-10
Oaxaca,3,2021-02-10
Puebla,1,2021-02-10
Querétaro,1,2021-02-10
Quintana Roo,1,2021-02-10
San Luis Potosí,0,2021-02-10
Sinaloa,3,2021-02-10
Sonora,2,2021-02-10
Tabasco,2,2021-02-10
Tamaulipas,3,2021-02-10
Tlaxcala,0,2021-02-10
Veracruz,2,2021-02-10
Yucatán,0,2021-02-10
Zacatecas,5,2021-02-10
Aguascalientes,0,2021-02-11
Baja California,5,2021-02-11
Baja California Sur,0,2021-02-11
Campeche,0,2021-02-11
Chiapas,0,2021-02-11
Chihuahua,4,2021-02-11
Ciudad de México,2,2021-02-11
Coahuila,0,2021-02-11
Colima,3,2021-02-11
Durango,0,2021-02-11
Estado de México,4,2021-02-11
Guanajuato,10,2021-02-11
Guerrero,4,2021-02-11
Hidalgo,0,2021-02-11
Jalisco,11,2021-02-11
Michoacán,2,2021-02-11
Morelos,0,2021-02-11
Nayarit,0,2021-02-11
Nuevo León,2,2021-02-11
Oaxaca,2,2021-02-11
Puebla,1,2021-02-11
Querétaro,0,2021-02-11
Quintana Roo,1,2021-02-11
San Luis Potosí,1,2021-02-11
Sinaloa,2,2021-02-11
Sonora,1,2021-02-11
Tabasco,0,2021-02-11
Tamaulipas,0,2021-02-11
Tlaxcala,0,2021-02-11
Veracruz,8,2021-02-11
Yucatán,0,2021-02-11
Zacatecas,5,2021-02-11
Aguascalientes,0,2021-02-12
Baja California,7,2021-02-12
Baja California Sur,0,2021-02-12
Campeche,1,2021-02-12
Chiapas,0,2021-02-12
Chihuahua,1,2021-02-12
Ciudad de México,4,2021-02-12
Coahuila,0,2021-02-12
Colima,1,2021-02-12
Durango,0,2021-02-12
Estado de México,10,2021-02-12
Guanajuato,6,2021-02-12
Guerrero,4,2021-02-12
Hidalgo,3,2021-02-12
Jalisco,4,2021-02-12
Michoacán,10,2021-02-12
Morelos,2,2021-02-12
Nayarit,0,2021-02-12
Nuevo León,1,2021-02-12
Oaxaca,3,2021-02-12
