"Entidades","Agosto 01","Entidades","Agosto 01"
"Aguascalientes","0","Morelos","0"
"Baja California","9","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","5"
"Campeche","1","",""
"","","Puebla","6"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","2","",""
"","","Quintana Roo","2"
"Ciudad de México","8","",""
"","","San Luis Potosí","1"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","1","",""
"","","Sonora","3"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","7","",""
"","","Tamaulipas","2"
"Guanajuato","20","",""
"","","Tlaxcala","1"
"Guerrero","4","",""
"","","Veracruz","4"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","6","",""
"","","Zacatecas","7"
"Michoacán","4","",""
"","","Total","100"
