"Entidades","Mayo 07","Entidades","Mayo 07"
"Aguascalientes","0","Morelos","2"
"Baja California","1","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","5"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","1","",""
"","","Querétaro","1"
"Chihuahua","4","",""
"","","Quintana Roo","0"
"Ciudad de México","3","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","1"
"Colima","3","",""
"","","Sonora","1"
"Durango","2","",""
"","","Tabasco","1"
"Estado de México","13","",""
"","","Tamaulipas","3"
"Guanajuato","6","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","5"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","6","",""
"","","Zacatecas","3"
"Michoacán","6","",""
"","","Total","73"
