"Entidades","Abril 18","Entidades","Abril 18"
"Aguascalientes","1","Morelos","2"
"","","Nayarit","0"
"Baja California","12","",""
"","","Nuevo León","4"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","1","",""
"","","Puebla","2"
"Chiapas","1","",""
"","","Querétaro","2"
"Chihuahua","4","",""
"","","Quintana Roo","1"
"Ciudad de México","5","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","2","",""
"","","Sonora","1"
"Durango","1","",""
"","","Tabasco","5"
"Estado de México","5","",""
"","","Tamaulipas","0"
"Guanajuato","7","Tlaxcala","0"
"Guerrero","3","Veracruz","4"
"","","Yucatán","0"
"Hidalgo","0","",""
"Jalisco","6","Zacatecas","0"
"Michoacán","4","Total","77"
