"Entidades","Agosto 07","Entidades","Agosto 07"
"Aguascalientes","0","Morelos","1"
"Baja California","13","Nayarit","0"
"Baja California Sur","0","Nuevo León","6"
"Campeche","1","Oaxaca","0"
"Chiapas","2","Puebla","2"
"","","Querétaro","2"
"Chihuahua","8","",""
"","","Quintana Roo","0"
"Ciudad de México","4","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","0","",""
"","","Sonora","1"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","8","",""
"","","Tamaulipas","4"
"Guanajuato","12","",""
"","","Tlaxcala","1"
"Guerrero","4","",""
"","","Veracruz","6"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","2"
"Michoacán","5","",""
"","","Total","91"
