"Entidades","Septiembre 11","Entidades","Septiembre 11"
"Aguascalientes","0","Morelos","4"
"Baja California","5","Nayarit","0"
"","","Nuevo León","0"
"Baja California Sur","0","",""
"","","Oaxaca","4"
"Campeche","0","",""
"","","Puebla","0"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","2"
"Ciudad de México","1","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","0"
"Colima","2","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","5"
"Estado de México","7","",""
"","","Tamaulipas","0"
"Guanajuato","14","",""
"","","Tlaxcala","6"
"Guerrero","3","",""
"","","Veracruz","2"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","9","",""
"","","Zacatecas","0"
"Michoacán","4","",""
"","","Total","79"
