"Entidades","Mayo 03","Entidades","Mayo 03"
"Aguascalientes","0","Morelos","1"
"Baja California","2","Nayarit","0"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","3","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","3"
"Ciudad de México","5","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","1","",""
"","","Sonora","1"
"Durango","1","",""
"","","Tabasco","2"
"Estado de México","9","",""
"","","Tamaulipas","0"
"Guanajuato","16","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","0"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","16","",""
"","","Zacatecas","1"
"Michoacán","8","",""
"","","Total","90"
