"Entidades","Julio 14","Entidades","Julio 14"
"Aguascalientes","0","Morelos","1"
"Baja California","5","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","1","",""
"","","Querétaro","2"
"Chihuahua","3","",""
"","","Quintana Roo","1"
"Ciudad de México","4","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","0","",""
"","","Sonora","3"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","8","",""
"","","Tamaulipas","1"
"Guanajuato","15","",""
"","","Tlaxcala","0"
"Guerrero","0","",""
"","","Veracruz","1"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","6","",""
"","","Zacatecas","5"
"Michoacán","5","",""
"","","Total","69"
