"Entidades","Abril 10","Entidades","Abril 10"
"Aguascalientes","0","Morelos","5"
"Baja California","4","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","0","",""
"","","Puebla","0"
"Chiapas","4","",""
"","","Querétaro","1"
"Chihuahua","6","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","1"
"Coahuila","0","",""
"","","Sinaloa","0"
"Colima","2","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","3"
"Estado de México","9","",""
"","","Tamaulipas","1"
"Guanajuato","16","",""
"","","Tlaxcala","0"
"Guerrero","7","",""
"","","Veracruz","5"
"Hidalgo","2","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","0"
"Michoacán","7","",""
"","","Total","87"
