"Entidades","Septiembre 14","Entidades","Septiembre 14"
"Aguascalientes","0","Morelos","1"
"Baja California","5","Nayarit","0"
"","","Nuevo León","6"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","2"
"Coahuila","1","",""
"","","Sinaloa","0"
"Colima","0","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","4"
"Estado de México","7","",""
"","","Tamaulipas","1"
"Guanajuato","12","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","6"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","1"
"Michoacán","8","",""
"","","Total","75"
