"Entidades","Abril 13","Entidades","Abril 13"
"Aguascalientes","0","Morelos","0"
"Baja California","5","Nayarit","0"
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","5"
"Chiapas","3","",""
"","","Querétaro","1"
"Chihuahua","10","",""
"","","Quintana Roo","2"
"Ciudad de México","4","",""
"","","San Luis Potosí","0"
"Coahuila","2","",""
"","","Sinaloa","0"
"Colima","1","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","2"
"Estado de México","13","",""
"","","Tamaulipas","1"
"Guanajuato","6","",""
"","","Tlaxcala","1"
"Guerrero","6","",""
"","","Veracruz","4"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","3","",""
"","","Zacatecas","3"
"Michoacán","0","",""
"","","Total","76"
