"Entidades","Ago 10","Entidades","Ago 10"
"Aguascalientes","0","Morelos","1"
"Baja California","4","Nayarit","0"
"","","Nuevo León","7"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","0","",""
"","","Puebla","5"
"Chiapas","3","",""
"","","Querétaro","1"
"Chihuahua","3","",""
"","","Quintana Roo","3"
"Ciudad de México","2","",""
"","","San Luis Potosí","4"
"Coahuila","0","",""
"","","Sinaloa","1"
"Colima","1","",""
"","","Sonora","2"
"Durango","3","",""
"","","Tabasco","0"
"Estado de México","6","",""
"","","Tamaulipas","2"
"Guanajuato","12","",""
"","","Tlaxcala","0"
"Guerrero","2","",""
"","","Veracruz","5"
"Hidalgo","3","",""
"","","Yucatán","0"
"Jalisco","1","",""
"","","Zacatecas","5"
"Michoacán","3","",""
"","","Total","81"
