"Entidades","Abril 17","Entidades","Abril 17"
"Aguascalientes","0","Morelos","4"
"","","Nayarit","0"
"Baja California","5","",""
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","0"
"Ciudad de México","1","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","0"
"Colima","3","",""
"","","Sonora","1"
"Durango","0","",""
"","","Tabasco","4"
"Estado de México","7","",""
"","","Tamaulipas","0"
"Guanajuato","10","Tlaxcala","1"
"Guerrero","8","Veracruz","3"
"","","Yucatán","0"
"Hidalgo","0","",""
"Jalisco","5","Zacatecas","1"
"Michoacán","9","Total","76"
