"Entidades","Junio 19","Entidades","Junio 19"
"Aguascalientes","0","Morelos","1"
"Baja California","6","Nayarit","0"
"","","Nuevo León","0"
"Baja California Sur","3","",""
"","","Oaxaca","1"
"Campeche","2","",""
"","","Puebla","4"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","2","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","0","",""
"","","Sonora","0"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","12","",""
"","","Tamaulipas","0"
"Guanajuato","10","",""
"","","Tlaxcala","1"
"Guerrero","3","",""
"","","Veracruz","3"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","9","",""
"","","Zacatecas","3"
"Michoacán","1","",""
"","","Total","71"
