"Entidades","Septiembre 10","Entidades","Septiembre 10"
"Aguascalientes","1","Morelos","1"
"Baja California","8","Nayarit","3"
"Baja California Sur","0","Nuevo León","6"
"Campeche","0","Oaxaca","0"
"Chiapas","0","Puebla","3"
"Chihuahua","9","Querétaro","0"
"Ciudad de México","1","Quintana Roo","2"
"Coahuila","1","San Luis Potosí","0"
"Colima","1","Sinaloa","2"
"Durango","0","Sonora","1"
"Estado de México","8","Tabasco","5"
"Guanajuato","14","Tamaulipas","0"
"Guerrero","2","Tlaxcala","0"
"Hidalgo","0","Veracruz","4"
"Jalisco","10","Yucatán","0"
"Michoacán","3","Zacatecas","2"
