"Entidades","Julio 24","Entidades","Julio 24"
"Aguascalientes","0","Morelos","3"
"Baja California","7","Nayarit","0"
"","","Nuevo León","4"
"Baja California Sur","0","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","0"
"Chiapas","3","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","0"
"Ciudad de México","3","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","1"
"Colima","1","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","8","",""
"","","Tamaulipas","2"
"Guanajuato","16","",""
"","","Tlaxcala","0"
"Guerrero","2","",""
"","","Veracruz","2"
"Hidalgo","2","",""
"","","Yucatán","0"
"Jalisco","12","",""
"","","Zacatecas","3"
"Michoacán","8","",""
"","","Total","89"
