"Entidades","Mayo 15","Entidades","Mayo 15"
"Aguascalientes","1","Morelos","0"
"Baja California","10","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","1","",""
"","","Oaxaca","8"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","7","",""
"","","Quintana Roo","2"
"Ciudad de México","6","",""
"","","San Luis Potosí","2"
"Coahuila","1","",""
"","","Sinaloa","2"
"Colima","3","",""
"","","Sonora","0"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","7","",""
"","","Tamaulipas","3"
"Guanajuato","14","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","1"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","4"
"Michoacán","2","",""
"","","Total","91"
