"Entidades","Mayo 11","Entidades","Mayo 11"
"Aguascalientes","0","Morelos","1"
"Baja California","6","Nayarit","0"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","1","",""
"","","Puebla","6"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","9","",""
"","","Quintana Roo","0"
"Ciudad de México","4","",""
"","","San Luis Potosí","4"
"Coahuila","1","",""
"","","Sinaloa","0"
"Colima","1","",""
"","","Sonora","5"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","5","",""
"","","Tamaulipas","1"
"Guanajuato","8","",""
"","","Tlaxcala","0"
"Guerrero","7","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","3","",""
"","","Zacatecas","1"
"Michoacán","1","",""
"","","Total","72"
