"Entidades","Junio 01","Entidades","Junio 01"
"Aguascalientes","0","Morelos","4"
"Baja California","5","Nayarit","2"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","0"
"Campeche","0","",""
"","","Puebla","0"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","0"
"Ciudad de México","3","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","2","",""
"","","Sonora","1"
"Durango","1","",""
"","","Tabasco","0"
"Estado de México","9","",""
"","","Tamaulipas","0"
"Guanajuato","9","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","0"
"Hidalgo","5","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","2"
"Michoacán","4","",""
"","","Total","67"
