"Entidades","Septiembre 08","Entidades","Septiembre 08"
"Aguascalientes","0","Morelos","1"
"Baja California","5","Nayarit","0"
"Baja California Sur","0","Nuevo León","6"
"Campeche","0","Oaxaca","0"
"Chiapas","1","Puebla","4"
"Chihuahua","4","Querétaro","0"
"Ciudad de México","1","Quintana Roo","1"
"Coahuila","0","San Luis Potosí","1"
"Colima","0","Sinaloa","1"
"Durango","0","Sonora","6"
"Estado de México","13","Tabasco","4"
"Guanajuato","5","Tamaulipas","2"
"Guerrero","3","Tlaxcala","0"
"Hidalgo","0","Veracruz","2"
"Jalisco","5","Yucatán","0"
"Michoacán","2","Zacatecas","4"
