"Entidades","Julio 23","Entidades","Julio 23"
"Aguascalientes","0","Morelos","4"
"Baja California","4","Nayarit","1"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","1","",""
"","","Sonora","0"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","9","",""
"","","Tamaulipas","5"
"Guanajuato","10","",""
"","","Tlaxcala","0"
"Guerrero","2","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","3","",""
"","","Zacatecas","2"
"Michoacán","3","",""
"","","Total","69"
