"Entidades","Julio 08","Entidades","Julio 08"
"Aguascalientes","0","Morelos","1"
"Baja California","5","Nayarit","0"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","0","",""
"","","Puebla","0"
"Chiapas","2","",""
"","","Querétaro","1"
"Chihuahua","4","",""
"","","Quintana Roo","4"
"Ciudad de México","0","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","6"
"Colima","3","",""
"","","Sonora","7"
"Durango","1","",""
"","","Tabasco","2"
"Estado de México","9","",""
"","","Tamaulipas","0"
"Guanajuato","9","",""
"","","Tlaxcala","0"
"Guerrero","3","",""
"","","Veracruz","2"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","2","",""
"","","Zacatecas","4"
"Michoacán","3","",""
"","","Total","76"
