"Entidades","Abril 25","Entidades","Abril 25"
"Aguascalientes","1","Morelos","1"
"","","Nayarit","1"
"Baja California","10","",""
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","4"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","3"
"Ciudad de México","2","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","1","",""
"","","Sonora","1"
"Durango","1","",""
"","","Tabasco","1"
"Estado de México","10","",""
"","","Tamaulipas","1"
"Guanajuato","17","",""
"","","Tlaxcala","0"
"Guerrero","0","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","10","",""
"","","Zacatecas","2"
"Michoacán","7","",""
"","","Total","91"
