"Entidades","Julio 12","Entidades","Julio 12"
"Aguascalientes","0","Morelos","2"
"","","Nayarit","0"
"Baja California","7","",""
"","","Nuevo León","4"
"Baja California Sur","0","",""
"","","Oaxaca","0"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","2"
"Ciudad de México","1","",""
"","","San Luis Potosí","1"
"Coahuila","1","",""
"","","Sinaloa","2"
"Colima","0","",""
"","","Sonora","9"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","8","",""
"","","Tamaulipas","3"
"Guanajuato","6","",""
"","","Tlaxcala","3"
"Guerrero","1","",""
"","","Veracruz","7"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","3","",""
"","","Zacatecas","9"
"Michoacán","12","",""
"","","Total","92"
