"Entidades","Julio 25","Entidades","Julio 25"
"Aguascalientes","0","Morelos","2"
"Baja California","4","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","1","",""
"","","Querétaro","1"
"Chihuahua","7","",""
"","","Quintana Roo","2"
"Ciudad de México","7","",""
"","","San Luis Potosí","0"
"Coahuila","2","",""
"","","Sinaloa","1"
"Colima","4","",""
"","","Sonora","2"
"Durango","5","",""
"","","Tabasco","2"
"Estado de México","12","",""
"","","Tamaulipas","2"
"Guanajuato","10","",""
"","","Tlaxcala","0"
"Guerrero","3","",""
"","","Veracruz","2"
"Hidalgo","2","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","1"
"Michoacán","6","",""
"","","Total","89"
