"Entidades","Mayo 27","Entidades","Mayo 27"
"Aguascalientes","0","Morelos","0"
"","","Nayarit","0"
"Baja California","1","",""
"","","Nuevo León","0"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","1","",""
"","","Puebla","1"
"Chiapas","3","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","1"
"Ciudad de México","3","",""
"","","San Luis Potosí","5"
"Coahuila","0","",""
"","","Sinaloa","9"
"Colima","3","",""
"","","Sonora","0"
"Durango","2","",""
"","","Tabasco","3"
"Estado de México","10","",""
"","","Tamaulipas","2"
"Guanajuato","20","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","2"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","7","",""
"","","Zacatecas","1"
"Michoacán","3","",""
"","","Total","84"
