"Entidades","Julio 02","Entidades","Julio 02"
"Aguascalientes","0","Morelos","0"
"Baja California","7","Nayarit","2"
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","0"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","0"
"Ciudad de México","3","",""
"","","San Luis Potosí","1"
"Coahuila","1","",""
"","","Sinaloa","3"
"Colima","0","",""
"","","Sonora","4"
"Durango","0","",""
"","","Tabasco","2"
"Estado de México","3","",""
"","","Tamaulipas","2"
"Guanajuato","15","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","2"
"Hidalgo","0","",""
"","","Yucatán","1"
"Jalisco","4","",""
"","","Zacatecas","0"
"Michoacán","6","",""
"","","Total","68"
