"Entidades","Abril 23","Entidades","Abril 23"
"Aguascalientes","0","Morelos","1"
"Baja California","4","Nayarit","0"
"","","Nuevo León","0"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","0"
"Ciudad de México","4","",""
"","","San Luis Potosí","0"
"Coahuila","3","",""
"","","Sinaloa","4"
"Colima","2","",""
"","","Sonora","3"
"Durango","2","",""
"","","Tabasco","1"
"Estado de México","1","",""
"","","Tamaulipas","2"
"Guanajuato","4","",""
"","","Tlaxcala","0"
"Guerrero","6","",""
"","","Veracruz","0"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","3"
"Michoacán","4","",""
"","","Total","59"
