"Entidades","Agosto 16","Entidades","Agosto 16"
"Aguascalientes","0","Morelos","2"
"Baja California","3","Nayarit","1"
"","","Nuevo León","4"
"Baja California Sur","0","",""
"","","Oaxaca","6"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","8","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","4"
"Coahuila","1","",""
"","","Sinaloa","3"
"Colima","2","",""
"","","Sonora","4"
"Durango","2","",""
"","","Tabasco","3"
"Estado de México","9","",""
"","","Tamaulipas","10"
"Guanajuato","10","",""
"","","Tlaxcala","1"
"Guerrero","5","",""
"","","Veracruz","1"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","12","",""
"","","Zacatecas","0"
"Michoacán","2","",""
"","","Total","102"
