"Entidades","Agosto 28","Entidades","Agosto 28"
"Aguascalientes","0","Morelos","2"
"Baja California","4","Nayarit","0"
"","","Nuevo León","4"
"Baja California Sur","0","",""
"","","Oaxaca","0"
"Campeche","0","",""
"","","Puebla","5"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","1","",""
"","","Quintana Roo","0"
"Ciudad de México","1","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","1"
"Colima","0","",""
"","","Sonora","3"
"Durango","2","",""
"","","Tabasco","4"
"Estado de México","15","",""
"","","Tamaulipas","3"
"Guanajuato","8","",""
"","","Tlaxcala","0"
"Guerrero","3","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","9","",""
"","","Zacatecas","7"
"Michoacán","4","",""
"","","Total","81"
