"Entidades","Septiembre 16","Entidades","Septiembre 16"
"Aguascalientes","0","Morelos","3"
"Baja California","3","Nayarit","0"
"","","Nuevo León","0"
"Baja California Sur","0","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","1","",""
"","","Quintana Roo","5"
"Ciudad de México","2","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","1"
"Colima","0","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","16","",""
"","","Tamaulipas","1"
"Guanajuato","17","",""
"","","Tlaxcala","1"
"Guerrero","8","",""
"","","Veracruz","3"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","16","",""
"","","Zacatecas","0"
"Michoacán","5","",""
"","","Total","92"
