"Entidades","Abril 28","Entidades","Abril 28"
"Aguascalientes","0","Morelos","1"
"Baja California","3","Nayarit","3"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","4"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","0","",""
"","","Sonora","0"
"Durango","2","",""
"","","Tabasco","0"
"Estado de México","4","",""
"","","Tamaulipas","3"
"Guanajuato","6","",""
"","","Tlaxcala","0"
"Guerrero","8","",""
"","","Veracruz","1"
"Hidalgo","2","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","1"
"Michoacán","7","",""
"","","Total","68"
