"Entidades","Agosto 25","Entidades","Agosto 25"
"Aguascalientes","0","Morelos","2"
"","","Nayarit","0"
"Baja California","3","",""
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","5"
"Campeche","1","",""
"","","Puebla","1"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","4"
"Ciudad de México","1","",""
"","","San Luis Potosí","2"
"Coahuila","1","",""
"","","Sinaloa","2"
"Colima","0","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","8"
"Estado de México","5","",""
"","","Tamaulipas","0"
"Guanajuato","19","",""
"","","Tlaxcala","0"
"Guerrero","7","",""
"","","Veracruz","5"
"Hidalgo","3","",""
"","","Yucatán","0"
"Jalisco","7","",""
"","","Zacatecas","8"
"Michoacán","4","",""
"","","Total","101"
