"Entidades","Mayo 10","Entidades","Mayo 10"
"Aguascalientes","1","Morelos","4"
"Baja California","4","Nayarit","0"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","3","",""
"","","Querétaro","0"
"Chihuahua","3","",""
"","","Quintana Roo","4"
"Ciudad de México","2","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","1"
"Colima","0","",""
"","","Sonora","0"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","5","",""
"","","Tamaulipas","0"
"Guanajuato","14","",""
"","","Tlaxcala","0"
"Guerrero","3","",""
"","","Veracruz","2"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","4"
"Michoacán","6","",""
"","","Total","67"
