"Entidades","Julio 17","Entidades","Julio 17"
"Aguascalientes","0","Morelos","2"
"Baja California","8","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","1"
"Ciudad de México","4","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","1"
"Colima","0","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","2"
"Estado de México","13","",""
"","","Tamaulipas","3"
"Guanajuato","12","",""
"","","Tlaxcala","0"
"Guerrero","2","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","7","",""
"","","Zacatecas","1"
"Michoacán","3","",""
"","","Total","74"
