"Entidades","Junio 09","Entidades","Junio 09"
"Aguascalientes","0","Morelos","0"
"Baja California","4","Nayarit","0"
"","","Nuevo León","10"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","9","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","1"
"Colima","0","",""
"","","Sonora","6"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","4","",""
"","","Tamaulipas","1"
"Guanajuato","12","",""
"","","Tlaxcala","1"
"Guerrero","1","",""
"","","Veracruz","0"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","8","",""
"","","Zacatecas","3"
"Michoacán","4","",""
"","","Total","73"
