"Entidades","Mayo 18","Entidades","Mayo 18"
"Aguascalientes","0","Morelos","1"
"","","Nayarit","3"
"Baja California","5","",""
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","4","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","3"
"Ciudad de México","3","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","1"
"Colima","0","",""
"","","Sonora","4"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","12","",""
"","","Tamaulipas","1"
"Guanajuato","19","",""
"","","Tlaxcala","0"
"Guerrero","3","",""
"","","Veracruz","1"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","3","",""
"","","Zacatecas","2"
"Michoacán","3","",""
"","","Total","84"
