"Entidades","Abril 15","Entidades","Abril 15"
"Aguascalientes","0","Morelos","3"
"Baja California","13","Nayarit","0"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","3","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","1"
"Ciudad de México","5","",""
"","","San Luis Potosí","1"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","3","",""
"","","Sonora","1"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","9","",""
"","","Tamaulipas","1"
"Guanajuato","20","",""
"","","Tlaxcala","0"
"Guerrero","5","",""
"","","Veracruz","3"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","8","",""
"","","Zacatecas","1"
"Michoacán","3","",""
"","","Total","96"
