"Entidades","Ago 11","Entidades","Ago 11"
"Aguascalientes","1","Morelos","0"
"","","Nayarit","0"
"Baja California","11","",""
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","1"
"Ciudad de México","1","",""
"","","San Luis Potosí","4"
"Coahuila","0","",""
"","","Sinaloa","1"
"Colima","2","",""
"","","Sonora","1"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","8","",""
"","","Tamaulipas","3"
"Guanajuato","9","",""
"","","Tlaxcala","0"
"Guerrero","5","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","1"
"Jalisco","6","",""
"","","Zacatecas","2"
"Michoacán","4","",""
"","","Total","79"
